 C, 65, 24, 127
1845803, C, 64, 37
1845805, C, 51, 1
1845805, C, 60, 32
1845805, E, 64, 127
1845845, F, 63, 64
1845863, E, 64, 0
1845896, E, 64, 127
1845935, E, 64, 0
1845954, C, 61, 44
1845957, C, 59, 52
1845996, F, 63, 64
1846009, F, 68, 64
1846056, C, 72, 48
1846057, C, 55, 49
1846060, C, 75, 61
1846062, F, 75, 64
1846068, F, 71, 64
1846095, F, 64, 64
1846103, F, 71, 64
1846108, F, 73, 64
1846134, C, 82, 56
1846173, F, 80, 64
1846189, C, 83, 67
1846202, F, 38, 64
1846212, C, 84, 73
1846219, E, 64, 0
1846252, E, 64, 0
1846373, E, 64, 127
1846446, F, 46, 64
1846451, F, 56, 64
1846453, F, 51, 64
1846464, C, 71, 51
1846492, C, 80, 56
1846505, F, 73, 64
1846606, F, 81, 64
1846609, E, 64, 127
1846647, E, 64, 0
1846666, F, 67, 64
1846680, E, 64, 127
1846774, C, 68, 69
1846798, F, 61, 64
1846840, F, 61, 64
1846840, F, 56, 64
1846843, F, 44, 64
1846849, C, 51, 56
1846900, C, 68, 63
1846907, F, 71, 64
1846899, C, 76, 58
1846988, C, 63, 56
1846991, F, 56, 64
1846992, F, 68, 64
1846997, F, 42, 64
1846998, F, 75, 64
1846998, F, 63, 64
1846998, F, 63, 64
1847060, E, 64, 127
1847111, C, 65, 65
1847120, E, 64, 0
1847124, F, 56, 64
1847161, E, 64, 127
1847167, F, 56, 64
1847174, F, 60, 64
1847182, F, 60, 64
1847277, E, 64, 0
1847282, E, 64, 127
1847332, F, 54, 64
1847331, F, 60, 64
1847403, C, 81, 52
1847403, C, 63, 65
1847403, C, 44, 83
1847412, E, 64, 127
1847433, E, 64, 0
1847508, E, 64, 127
1847545, E, 64, 127
1847579, C, 61, 39
1847591, F, 51, 64
1847601, C, 61, 41
1847602, C, 47, 39
1847602, C, 64, 40
1847610, C, 70, 55
1847614, C, 73, 47
1847620, F, 70, 64
1847633, E, 64, 0
1847656, F, 54, 64
1847658, E, 64, 127
1847702, E, 64, 0
1847709, E, 64, 0
1847755, E, 64, 127
1847867, F, 51, 64
1847885, C, 66, 54
1847885, C, 47, 48
1847892, C, 44, 47
1847893, C, 55, 13
1847893, C, 59, 20
1847896, C, 64, 32
1847905, E, 64, 127
1847915, E, 64, 0
1847929, C, 63, 51
1847931, E, 64, 0
1847942, F, 73, 64
1847944, E, 64, 127
1847971, E, 64, 0
1847991, E, 64, 127
1848015, E, 64, 0
1848015, F, 73, 64
1848112, E, 64, 127
1848157, C, 70, 62
1848187, F, 75, 64
1848229, E, 64, 0
1848230, C, 63, 58
1848238, C, 67, 54
1848246, F, 65, 64
1848261, F, 54, 64
1848263, C, 62, 51
1848316, F, 69, 64
1848334, E, 64, 0
1848343, F, 54, 64
1848351, E, 64, 127
1848372, E, 64, 0
1848381, F, 56, 64
1848383, C, 66, 63
1848409, F, 71, 64
1848409, F, 63, 64
1848417, C, 72, 59
1848422, C, 59, 62
1848454, F, 54, 64
1848458, F, 53, 64
1848492, E, 64, 127
1848507, C, 56, 32
1848509, C, 66, 41
1848523, F, 74, 64
1848544, E, 64, 0
1848599, E, 64, 127
1848645, C, 63, 55
1848645, C, 42, 32
1848648, E, 64, 0
1848651, F, 60, 64
1848668, C, 63, 45
1848668, E, 64, 0
1848676, F, 72, 64
1848685, E, 64, 0
1848744, F, 57, 64
1848846, F, 64, 64
1848846, F, 58, 64
1848869, C, 63, 16
1848878, C, 77, 64
1848882, E, 64, 127
1848948, F, 51, 64
1848951, C, 70, 66
1848960, F, 84, 64
1848978, E, 64, 127
1848985, F, 54, 64
1848990, F, 63, 64
1849038, C, 74, 47
1849315, F, 51, 64
1849315, F, 55, 64
1849427, C, 60, 46
1849435, C, 62, 51
1849435, C, 55, 63
1849673, E, 64, 0
1849695, E, 64, 127
1849730, F, 49, 64
1849757, E, 64, 127
1849773, C, 72, 55
1849785, C, 70, 65
1849804, F, 75, 64
1849816, F, 72, 64
1849861, C, 71, 51
1849860, C, 64, 56
1849865, F, 75, 64
1849876, E, 64, 0
1849896, F, 58, 64
1849910, F, 64, 64
1849939, E, 64, 127
1850047, F, 76, 64
1850051, E, 64, 0
1850074, E, 64, 127
1850104, C, 52, 51
1850109, C, 68, 41
1850109, C, 58, 45
1850134, E, 64, 127
1850205, F, 54, 64
1850209, F, 56, 64
1850208, F, 70, 64
1850240, E, 64, 0
1850259, F, 57, 64
1850277, E, 64, 127
1850319, F, 54, 64
1850298, C, 77, 55
1850302, E, 64, 0
1850301, F, 61, 64
1850302, E, 64, 127
1850342, E, 64, 0
1850349, C, 68, 71
1850349, C, 39, 59
1850357, E, 64, 127
1850544, E, 64, 127
1850625, F, 61, 64
1850641, F, 64, 64
1850683, C, 66, 70
1850683, C, 54, 67
1850683, F, 50, 64
1850706, C, 66, 69
1850713, C, 63, 64
1850798, C, 63, 70
1850799, C, 61, 77
1850810, E, 64, 127
1850816, F, 61, 64
1850836, E, 64, 127
1850881, E, 64, 0
1850890, E, 64, 127
1850991, C, 63, 53
1850995, C, 41, 70
1851006, E, 64, 127
1851122, F, 52, 64
1851127, F, 68, 64
1851149, C, 73, 67
1851149, C, 44, 62
1851149, C, 59, 47
1851159, F, 70, 64
1851183, E, 64, 127
1851207, E, 64, 0
1851214, F, 66, 64
1851221, F, 63	
