 C, 54, 40
787752, E, 64, 127
787752, E, 64, 127
787785, F, 66, 64
787990, F, 45, 64
788014, F, 57, 64
788045, E, 64, 0
788046, E, 64, 0
788057, C, 72, 52
788070, E, 64, 0
788071, E, 64, 0
788127, C, 60, 22
788137, C, 73, 30
788138, E, 64, 0
788138, E, 64, 0
788190, E, 64, 127
788195, E, 64, 127
788202, F, 56, 64
788202, F, 54, 64
788202, F, 73, 64
788237, C, 75, 41
788251, F, 65, 64
788298, C, 51, 38
788303, F, 58, 64
788304, F, 65, 64
788305, E, 64, 127
788307, E, 64, 127
788356, F, 50, 64
788356, F, 72, 64
788392, C, 71, 52
788287, C, 75, 53
788288, C, 53, 32
788285, F, 59, 64
788285, E, 64, 0
788285, E, 64, 0
788299, F, 57, 64
788301, F, 53, 64
788309, F, 57, 64
788322, E, 64, 127
788322, E, 64, 127
788351, F, 53, 64
788390, F, 53, 64
788404, F, 60, 64
788417, F, 55, 64
788594, C, 68, 46
788689, F, 62, 64
788716, C, 74, 66
788723, C, 57, 42
788723, C, 58, 54
788723, C, 62, 30
788725, C, 60, 46
788715, F, 44, 64
788716, E, 64, 127
788715, E, 64, 127
788783, F, 51, 64
788791, F, 60, 64
788835, C, 56, 27
788868, F, 48, 64
788906, F, 62, 64
788919, F, 54, 64
788934, C, 50, 30
788937, F, 68, 64
788938, F, 56, 64
788942, F, 63, 64
788838, F, 60, 64
788706, C, 60, 47
787835, F, 67, 64
787866, C, 67, 40
787893, F, 66, 64
787928, C, 65, 50
787932, C, 57, 29
787933, C, 80, 54
787933, C, 65, 45
787969, F, 65, 64
788062, F, 52, 64
788115, F, 62, 64
788131, E, 64, 0
788131, E, 64, 0
788142, C, 73, 54
788154, C, 65, 42
788154, C, 55, 32
788180, F, 70, 64
788187, C, 56, 27
788214, F, 57, 64
788222, F, 60, 64
788239, F, 62, 64
788242, F, 57, 64
788255, E, 64, 0
788254, E, 64, 0
788280, F, 43, 64
788288, E, 64, 127
788284, E, 64, 127
788293, F, 58, 64
788301, F, 60, 64
788301, F, 62, 64
788410, C, 65, 34
788412, C, 58, 31
788425, C, 58, 30
788433, F, 68, 64
788449, C, 65, 38
788459, F, 55, 64
788486, F, 64, 64
788514, E, 64, 0
788513, E, 64, 0
788535, E, 64, 127
788537, E, 64, 127
788551, F, 48, 64
788560, F, 50, 64
788620, F, 57, 64
788613, C, 65, 32
788615, C, 62, 27
788629, F, 53, 64
788640, F, 65, 64
788637, C, 55, 42
788645, C, 53, 24
788650, F, 69, 64
788651, F, 57, 64
788654, F, 67, 64
788654, E, 64, 0
788654, E, 64, 127
788662, C, 68, 41
788672, C, 67, 71
788709, F, 70, 64
788078, F, 59, 64
788093, E, 64, 127
788092, E, 64, 127
788126, F, 63, 64
788176, C, 70, 53
788185, F, 74, 64
788214, F, 60, 64
788230, E, 64, 0
788230, E, 64, 0
788245, E, 64, 127
788245, E, 64, 127
788295, C, 69, 42
788320, F, 71, 64
788323, C, 69, 18
788336, F, 61, 64
788342, C, 75, 33
788348, E, 64, 0
788348, E, 64, 0
788349, C, 68, 58
788349, C, 58, 42
788361, E, 64, 0
788363, E, 64, 0
788374, E, 64, 127
788373, E, 64, 127
788456, F, 62, 64
788484, E, 64, 0
788484, E, 64, 127
788490, E, 64, 127
788509, F, 56, 64
788516, F, 57, 64
788526, C, 58, 42
788530, C, 62, 32
788534, C, 58, 27
788539, C, 55, 32
788544, F, 37, 64
788524, E, 64, 127
788526, E, 64, 127
788579, F, 72, 64
788592, F, 53, 64
788606, F, 65, 64
788639, C, 57, 24
788637, C, 68, 49
788653, F, 72, 64
788659, F, 74, 64
788679, E, 64, 0
788680, E, 64, 0
788698, F, 54, 64
788754, E, 64, 127
788745, E, 64, 127
788771, E, 64, 127
788705, E, 64, 127
788766, C, 71, 40
788778, F, 80, 64
788906, E, 64, 127
788905, E, 64, 127
788951, F, 68, 64
788968, F, 53, 64
788998, F, 60, 64
789006, C, 63, 52
788036, F, 68, 64
788083, E, 64, 0
788082, E, 64, 0
788095, E, 64, 127
788093, E, 64, 127
788124, C, 70, 40
788126, C, 56, 23
788126, C, 59, 23
788135, F, 74, 64
788178, C, 75, 50
788191, F, 64, 64
788192, F, 53, 64
788211, C, 68, 73
788239, C, 52, 40
788247, C, 52, 33
788248, C, 53, 36
788270, F, 66, 64
788271, F, 41, 64
788271, F, 45, 64
788282, F, 61, 64
788284, F, 63, 64
788287, F, 63, 64
788293, F, 57, 64
788293, F, 58, 64
788358, C, 61, 43
788363, C, 72, 57
788364, C, 53, 69
788370, C, 51, 53
788372, C, 53, 39
788380, C, 53, 43
788389, F, 53, 64
788395, F, 53, 64
788395, C, 44, 46
788408, C, 57, 49
788421, C, 63, 32
788427, E, 64, 0
788429, E, 64, 0
788456, E, 64, 127
788462, E, 64, 127
788484, F, 57, 64
788491, F, 57, 64
788641, C, 62, 31
788638, C, 64, 39
788651, F, 60, 64
788653, F, 62, 64
788650, F, 52, 64
788650, F, 60, 64
788678, F, 69, 64
788689, F, 54, 64
788799, C, 66, 50
788798, C, 51, 38
788893, F, 72, 64
788924, F, 67, 64
788974, C, 71, 55
788980, C, 60, 46
788983, C, 61, 38
788986, C, 53, 43
788992, E, 64, 127
788992, E, 64, 127
788998, F, 56, 64
789039, F, 65, 64
789052, C, 70, 46
789057, F, 67, 64
789073, C, 64, 35
789072, C, 80, 49
789075, E, 64, 0
789077, E, 64, 0
789096, E, 64, 0
789104, F, 74, 64
789027, F, 56, 64
789045, E, 64, 127
789045, E, 64, 127
789060, E, 64, 127
789061, E, 64, 127
789177, F, 66, 64
789178, F, 60, 64
789195, E, 64, 0
789196, E, 64, 0
789203, E, 64, 127
789203, E, 64, 127
789381, F, 63, 64
789403, F, 54, 64
789411, F, 50, 64
789536, C, 66, 56
789536, C, 52, 94
788265, F, 84, 64
788285, F, 44, 64
788291, F, 57, 64
788336, E, 64, 0
784733, E, 64, 0
788383, F, 74, 64
788389, C, 68, 34
788494, E, 64, 127
7884944, E, 64, 127
788502, C, 63, 20
788051, F, 57, 64
788051, F, 63, 64
788061, F, 58, 64
788075, C, 68, 30
788140, C, 62, 42
788151, E, 64, 0
788151, E, 64, 0
788229, E, 64, 127
788229, E, 64, 127
788297, F, 70, 64
788366, F, 74, 64
788395, C, 75, 41
788399, F, 55, 64
788414, F, 60, 64
788419, C, 60, 26
788427, C, 55, 16
788427, C, 65, 26
788472, F, 61, 64
788478, F, 45, 64
788513, E, 64, 0
788512, E, 64, 0
788534, E, 64, 127
788537, E, 64, 127
788556, F, 70, 64
788585, C, 55, 25
788613, F, 60, 64
788622, F, 52, 64
788628, F, 62, 64
788661, F, 45, 64
788686, F, 56, 64
788687, C, 72, 76
788702, F, 67, 64
788775, E, 64, 0
788775, E, 64, 0
788794, E, 64, 127
788794, E, 64, 127
788813, F, 58, 64
788818, F, 44, 64
788819, F, 57, 64
788940, C, 64, 40
788965, C, 65, 18
788969, C, 63, 41
788969, C, 53, 46
788977, F, 68, 64
788979, C, 45, 56
788990, F, 63, 64
788996, F, 49, 64
788997, C, 52, 43
788999, C, 57, 41
788999, C, 41, 60
788999, C, 67, 57
788999, C, 55, 34
788998, C, 58, 46
789010, F, 65, 64
789036, F, 72, 64
789039, F, 87, 64
789044, E, 64, 127
789044, E, 64, 127
789105, F, 68, 64
789165, F, 62, 64
789206, F, 44, 64
789221, C, 63, 54
789217, C, 59, 47
789221, F, 58, 64
789220, E, 64, 0
789226, E, 64, 127
789222, E, 64, 127
789276, F, 63, 64
789292, C, 63, 42
789303, C, 77, 85
789309, E, 64, 0
789309, E, 64, 0
789315, F, 69, 64
789323, F, 63, 64
789335, F, 72, 64
789342, F, 57, 64
789345, F, 58, 64
789373, F, 56, 64
789390, C, 75, 52
789403, C, 57, 26
789409, C, 65, 28
789419, C, 58, 33
789425, C, 60, 36
789432, E, 64, 0
789433, E, 64, 0
789469, F, 75, 64
789629, C, 56, 27
789633, C, 63, 18
789636, C, 56, 17
789653, F, 67, 64
789655, E, 64, 0
789655, E, 64, 0
789658, E, 64, 0
789670, E, 64, 127
789671, E, 64, 127
789725, F, 57, 64
789735, F, 52, 64
789792, F, 68, 64
789795, E, 64, 0
789798, E, 64, 0
789991, C, 66, 54
790073, C, 60, 40
790085, E, 64, 0
790139, E, 64, 127
790126, F, 58, 64
790132, F, 62, 64
790183, C, 65, 35
790214, F, 59, 64
790219, F, 53, 64
790243, E, 64, 0
790243, F, 70, 64
790265, E, 64, 127
790276, F, 63, 64
790283, F, 68, 64
790334, C, 65, 46
790345, C, 63, 32
790444, C, 63, 49
790541, F, 72, 64
782058, C, 55, 27
782062, C, 57, 20
782069, C, 56, 15
782084, F, 44, 64
782089, E, 64, 127
782100, F, 65, 64
782100, F, 55, 64
782112, C, 85, 79
782144, E, 64, 0
782144, E, 64, 0
782157, E, 64, 127
782197, F, 61, 64
782201, F, 57, 64
782208, F, 55, 64
782314, F, 70, 64
782262, C, 75, 50
782272, F, 71, 64
782280, C, 66, 24
782335, C, 51, 36
782338, C, 65, 46
782352, C, 51, 28
782365, F, 71, 64
782425, C, 68, 40
782431, C, 45, 31
782493, F, 63, 64
782494, F, 59, 64
782506, F, 62, 64
782557, C, 62, 29
782559, C, 57, 38
782575, F, 69, 64
782722, F, 67, 64
782737, C, 72, 46
782756, F, 67, 64
782795, F, 72, 64
782847, C, 73, 53
782863, C, 66, 44
782868, C, 57, 26
7828	
