, E, 64, 127
262206, F, 62, 64
262212, C, 59, 48
262217, E, 64, 0
262238, E, 64, 127
262264, F, 79, 64
262300, E, 64, 0
262338, E, 64, 127
262376, F, 50, 64
262381, F, 72, 64
262419, F, 52, 64
262456, C, 82, 68
262475, F, 49, 64
262485, C, 56, 28
262484, C, 62, 50
262490, C, 52, 34
262490, F, 76, 64
262532, E, 64, 127
262553, E, 64, 0
262564, F, 40, 64
262568, C, 51, 40
262571, F, 63, 64
262586, F, 62, 64
262597, E, 64, 127
262633, E, 64, 127
262660, C, 74, 59
262662, C, 58, 29
262663, C, 55, 26
262665, C, 69, 52
262684, F, 79, 64
262809, C, 66, 59
262810, C, 65, 55
262814, C, 48, 52
262818, C, 56, 44
262820, F, 65, 64
262820, F, 82, 64
262846, E, 64, 127
262880, E, 64, 0
262881, F, 72, 64
262891, E, 64, 127
262995, F, 42, 64
262998, F, 55, 64
263051, C, 73, 55
263052, C, 46, 48
263069, F, 76, 64
263101, E, 64, 127
263138, E, 64, 0
263201, E, 64, 127
263462, F, 62, 64
263516, C, 72, 46
263521, F, 69, 64
265314, C, 80, 65
265317, C, 41, 66
265322, F, 69, 64
265328, E, 64, 0
265365, F, 43, 64
265377, E, 64, 127
265384, E, 64, 127
265440, F, 67, 64
265448, C, 72, 64
265465, E, 64, 0
265479, E, 64, 127
265519	
