, C, 90, 70
1175605, C, 71, 52
1175616, C, 37, 74
1175620, E, 64, 0
1175621, E, 64, 0
1175651, E, 64, 127
1175651, E, 64, 127
1175729, F, 63, 64
1175732, F, 78, 64
1175854, F, 44, 64
1175859, F, 78, 64
1175885, E, 64, 0
1175885, E, 64, 0
1175920, E, 64, 127
1175926, E, 64, 127
1175941, F, 50, 64
1175941, F, 45, 64
1175949, C, 39, 38
1175949, C, 68, 38
1175959, F, 70, 64
1176008, E, 64, 0
1176037, C, 44, 17
1176086, F, 72, 64
1176087, F, 76, 64
1176087, C, 78, 52
1176088, C, 73, 49
1176099, F, 73, 64
1176099, C, 73, 50
1176101, F, 75, 64
1176122, C, 54, 47
1176124, C, 67, 43
1176127, C, 52, 46
1176127, C, 57, 47
1176134, F, 76, 64
1176150, E, 64, 0
1176151, E, 64, 0
1176168, E, 64, 127
1176171, E, 64, 127
1176273, F, 75, 64
1176274, F, 70, 64
1176276, F, 80, 64
1176279, F, 70, 64
1176291, F, 78, 64
1176326, C, 73, 54
1176329, C, 44, 53
1176339, E, 64, 0
1176349, C, 71, 46
1176350, C, 66, 42
1176350, C, 44, 34
1176369, E, 64, 127
1176371, E, 64, 127
1176646, E, 64, 0
1176649, C, 80, 56
1176649, C, 54, 49
1176653, C, 75, 52
1176660, E, 64, 127
1176680, F, 36, 64
1176685, F, 84, 64
1176722, E, 64, 0
1176735, E, 64, 127
1176772, C, 52, 46
1176771, C, 42, 28
1176800, C, 76, 39
1176814, E, 64, 0
1176818, E, 64, 0
1176839, E, 64, 127
1176852, E, 64, 127
1176860, C, 73, 61
1176869, C, 55, 16
1176882, F, 73, 64
1176909, F, 44, 64
1176946, C, 66, 31
1176948, C, 76, 52
1176954, E, 64, 0
1176980, E, 64, 0
1176993, E, 64, 127
1177006, E, 64, 127
1177026, F, 64, 64
1177032, F, 61, 64
1177040, F, 64, 64
1177047, F, 44, 64
1177157, F, 55, 64
1177173, C, 63, 74
1177181, C, 61, 79
1177196, C, 75, 71
1177200, C, 63, 83
1177208, C, 63, 50
1177234, F, 44, 64
1177255, F, 44, 64
1177351, C, 71, 60
1177353, C, 73, 60
1177354, C, 75, 76
1177415, C, 77, 46
1177433, F, 81, 64
1177433, C, 58, 49
1177440, C, 37, 49
1177447, F, 77, 64
1177448, F, 78, 64
1177455, F, 76, 64
1177462, F, 76, 64
1177562, C, 75, 56
1177573, E, 64, 0
1177587, F, 68, 64
1177588, E, 64, 127
1177593, E, 64, 0
1177486, E, 64, 127
1177491, E, 64, 127
1177598, F, 52, 64
1177647, F, 75, 64
1177700, F, 52, 64
1177703, F, 35, 64
1177707, C, 73, 61
1177746, F, 54, 64
1177775, C, 30, 49
1177781, C, 44, 86
1177808, E, 64, 0
1177819, E, 64, 127
1177836, E, 64, 127
1177874, E, 64, 0
1177880, E, 64, 0
1179792, F, 76, 64
1179797, F, 64, 64
1179799, F, 67, 64
1179801, F, 73, 64
1179815, E, 64, 127
1179816, F, 70, 64
1179822, F, 80, 64
1179828, F, 44, 64
1179829, F, 70, 64
1179906, E, 64, 0
1179914, E, 64, 0
1179908, C, 50, 47
1179907, C, 68, 56
1179908, C, 60, 46
1179915, F, 70, 64
1179919, E, 64, 0
1179924, E, 64, 0
1179941, E, 64, 127
1179942, E, 64, 127
1179989, F, 51, 64
1179990, F, 61, 64
1179993, F, 73, 64
1179993, C, 75, 61
1179999, C, 75, 47
1179999, C, 60, 41
1179999, F, 66, 64
1180002, C, 68, 53
1180102, E, 64, 0
1180100, E, 64, 0
1180125, E, 64, 127
1180126, E, 64, 0
1180117, C, 54, 65
1180118, C, 44, 56
1180123, C, 75, 71
1180135, F, 37, 64
1180143, E, 64, 0
1180148, E, 64, 0
1180193, E, 64, 127
1180197, E, 64, 127
1180212, F, 76, 64
1180224, F, 44, 64
1180232, F, 61, 64
1180232, F, 57, 64
1180236, F, 44, 64
1180237, F, 78, 64
1180241, F, 76, 64
1180241, F, 82, 64
1180245, F, 76, 64
1180265, F, 76, 64
1180353, E, 64, 0
1180355, C, 69, 76
1180361, C, 58, 46
1180364, C, 70, 67
1180387, F, 75, 64
1180407, F, 69, 64
1180407, F, 70, 64
1180409, F, 78, 64
1180300, C, 73, 90
1180313, F, 53, 64
1180332, C, 68, 88
1180335, F, 76, 64
1180343, F, 44, 64
1180347, F, 81, 64
1180348, C, 76, 58
1180348, C, 74, 93
1180348, C, 52, 66
1180348, C, 64, 72
1180350, C, 60, 57
1180357, C, 63, 52
1180374, E, 64, 0
1180381, E, 64, 0
1180396, E, 64, 0	
